_id,jobTitle,companyName,requiredQualification,experience,salary,jobLocation,jobType,contactEmail,jobDescription,jobLocationLat,jobLocationLong,jobdistance
ghg8seoicfheoliypd,Marketing Manager,Oracle Solutions,4,3,121,Pokhara,3,wisdomte860@company.com,Opportunity to make an impact,28.7305960535,80.1024343542,0.0000964648
g4pbh7fzrheq6g9sa8,Training Coordinator,Omega Group,7,5,26,Dharan,1,primeser680@yahoo.com,Opportunity to make an impact,28.9438413229,85.6642529714,0.0000983326
q0g36o41rjutfweuas,Marketing Manager,Castle Industries,10,10,115,Nepalgunj,3,castlein301@gmail.com,Join our fast-growing company,27.3027107935,80.5858035327,0.0000011446
mklopfe3w1dufraj0g,Principal,Golden Enterprises,2,13,107,Bhaktapur,3,unitysys222@company.com,Excellent opportunity for career growth,28.9060688211,86.6727153094,0.0000057937
hfb8gbotpvk3655bl4,Customer Service Representative,Metro Trading,2,5,113,Itahari,3,vertexco615@gmail.com,Work with talented professionals,28.6672189682,87.4913412182,0.0000931275
kp70p1c25lahb1ztxh,Web Developer,Phoenix Ltd,5,3,82,Nepalgunj,3,castlein599@gmail.com,Looking for experienced professional to join our team,28.5977054554,82.6147006773,0.0000544112
0z4s79902o75z3j7ki,Supply Chain Manager,Titan Corp,3,15,149,Hetauda,1,royalind731@company.com,Dynamic work environment with competitive benefits,28.6801130576,86.8046338199,0.0000876728
3jnmlil7jagz43cck2,Project Manager,Unity Systems,9,1,9,Butwal,2,karmaind594@gmail.com,Challenging role with great perks,28.967969201,80.8130283649,0.0000869661
51c0s6a35he21006vh,Consultant,Crown Industries,1,15,107,Dharan,0,goldenen962@yahoo.com,Dynamic work environment with competitive benefits,27.5117713206,81.7941604256,0.0000473062
p55xzm1890huc80k1d,Training Coordinator,Wisdom Technologies,5,1,9,Janakpur,3,betatech386@outlook.com,Opportunity to make an impact,28.5829625745,80.179245594,0.0000320304
nml894gn2jy8m919di,Database Administrator,Royal Industries,4,13,43,Pokhara,3,abcenter552@outlook.com,Kursi ma basne paisa kamaunsfi,28.8970494138,86.1134532893,0.0000291745
ssl971mdevw4lbeclp,Graphic Designer,Royal Industries,2,11,32,Bhaktapur,0,globalin977@outlook.com,Challenging role with great perks,27.1217169805,83.8274244641,0.0000592952
ni8jvz0ire4m6ojnw3,UI/UX Designer,Nexus Solutions,1,15,30,Janakpur,2,silverso310@yahoo.com,Looking for experienced professional to join our team,28.799000063,86.9432921593,0.0000794496
v563dsq2kgci8vhtk9,Training Coordinator,Innovation Hub,2,0,146,Itahari,0,stellarg880@company.com,Excellent opportunity for career growth,28.8715097172,84.7956968842,0.0000637508
5tb7dredk0mm6isy4w,Accountant,Oracle Solutions,6,12,59,Bharatpur,0,alphasys40@gmail.com,Opportunity to make an impact,27.3673796502,83.8962799731,0.0000622093
skjqfyrekbmssz2bve,Assistant Manager,ABC Enterprises,9,12,120,Bharatpur,3,globalin523@company.com,Excellent opportunity for career growth,28.2198905421,84.8462416871,0.0000217645
vpurb5c4z9jjo2zt1f,Electrical Engineer,Digital Dynamics,5,15,23,Tulsipur,1,infinity887@gmail.com,Looking for experienced professional to join our team,28.7372134634,81.3964012808,0.0000803471
7c8uk5hwgb9qn91i6g,Data Analyst,Alpha Systems,1,11,27,Dharan,1,skylinei19@outlook.com,Work with cutting-edge technology,26.1628393617,85.8972878327,0.0000242096
h21k05lug4kdp57vxr,Legal Advisor,Omega Group,2,2,141,Pokhara,2,karmaind539@gmail.com,Excellent opportunity for career growth,26.7615138833,80.333446948,0.0000232980
w7jirpzryic5tn43mb,Lecturer,Vertex Corporation,5,1,132,Itahari,2,elitecon464@gmail.com,Looking for experienced professional to join our team,28.9374947047,81.6378087597,0.0000703168
qsabp2viep6g4uurk3,Team Leader,Karma Industries,1,12,128,Dhangadhi,1,silverso820@yahoo.com,Challenging role with great perks,26.1106466389,83.3828073163,0.0000007924
qlmydazpa2g7n4yxbw,Marketing Manager,Emerald Solutions,3,7,81,Dhangadhi,1,primeser729@yahoo.com,Work with talented professionals,26.6822670576,82.6931585588,0.0000052242
wdxar3pmmecz1go089,Training Coordinator,Global Industries,4,5,75,Kathmandu,1,royalind793@gmail.com,Excellent opportunity for career growth,28.9139322689,83.5395255266,0.0000180470
exgtewaw0aa9gavqju,Nurse,Oracle Solutions,8,13,37,Tulsipur,0,nobleven579@company.com,Dynamic work environment with competitive benefits,28.3224399148,82.1877905657,0.0000108823
fvjfrrppkryvb50v74,HR Manager,Skyline Industries,4,2,126,Janakpur,1,elitecon96@yahoo.com,Be part of innovative projects,28.0981879941,83.4684243062,0.0000668870
cdhwwslsmazx1b9kri,Nurse,Pacific Enterprises,3,0,54,Janakpur,0,vertexco286@company.com,Work with cutting-edge technology,26.5387953931,87.2647632913,0.0000936175
7eiqry1sexw7s2f6xn,Financial Analyst,Diamond Corp,5,7,9,Pokhara,0,acesolut214@outlook.com,Dynamic work environment with competitive benefits,26.7214765161,87.5970650964,0.0000579890
qekq15crrqoa1xz94b,DevOps Engineer,Unity Systems,6,3,62,Kathmandu,1,alphasys670@yahoo.com,Join our fast-growing company,27.1542301891,83.2401424113,0.0000959260
m3neun9yg6owuj6y7o,Pharmacist,Emerald Solutions,9,3,25,Pokhara,3,royalind877@gmail.com,Excellent opportunity for career growth,28.6469272486,82.968392427,0.0000548695
g7h6132wmgwn8sr09a,Principal,Beta Technologies,1,14,97,Pokhara,3,goldenen97@yahoo.com,Excellent opportunity for career growth,27.0864780867,84.6834070872,0.0000348729
npzs8rawsjr89v4ghh,Business Analyst,Global Industries,3,7,137,Hetauda,3,stellarg114@gmail.com,Excellent opportunity for career growth,26.1962287827,80.6912540181,0.0000980166
kl2inirkn34jkh262p,Electrical Engineer,Digital Dynamics,5,2,144,Tulsipur,2,crownind14@company.com,Work with talented professionals,28.4299921217,82.51414527,0.0000631708
mv5so0lx9fgylmu6lq,Branch Manager,Horizon Ventures,6,12,70,Dharan,3,diamondc378@outlook.com,Work with cutting-edge technology,28.2659439259,82.1958004398,0.0000648215
atgrqg1v3sronl6ff6,Database Administrator,Wisdom Technologies,9,4,86,Kathmandu,2,goldenen759@yahoo.com,Kursi ma basne paisa kamaunsfi,27.5662235407,87.9274805712,0.0000041407
d105ghstwbvdlr76cf,Assistant Manager,Skyline Industries,1,0,67,Birgunj,0,vertexco862@company.com,Opportunity to make an impact,28.770235511,81.5327900321,0.0000241105
uaym8v84fvyqajj7en,Graphic Designer,Alpha Systems,1,13,6,Kathmandu,1,horizonv992@yahoo.com,Work with cutting-edge technology,26.799588874,82.8711234417,0.0000693342
xx6a6n7pkjevbc82ry,Legal Advisor,ABC Enterprises,7,3,102,Tulsipur,2,questtec526@outlook.com,Work with cutting-edge technology,27.9823022393,84.6159400761,0.0000471819
qxm2t1fvyf8ik0g7p4,Quality Assurance Engineer,Prime Services,10,15,108,Bharatpur,2,apextrad725@outlook.com,Be part of innovative projects,26.7338509875,87.8446681401,0.0000371607
g2rzfaj6fzl7wdnnxx,Pharmacist,Quantum Systems,8,6,146,Tulsipur,3,crownind799@yahoo.com,Dynamic work environment with competitive benefits,26.341140487,83.109010821,0.0000814502
g4mfxdsop1kxqfxgmn,Digital Marketing Specialist,Pacific Enterprises,5,4,46,Nepalgunj,0,techsolu639@yahoo.com,Join our fast-growing company,26.1668229309,83.4341103563,0.0000138592
ulo32t84wtcviss2or,Assistant Manager,Golden Enterprises,7,10,22,Bhaktapur,3,silverso607@outlook.com,Opportunity to make an impact,28.4923500954,85.0832785502,0.0000801789
5uct3cfu2onrmihute,Mechanical Engineer,Phoenix Ltd,4,11,72,Pokhara,2,globalin621@outlook.com,Work with talented professionals,27.7109763626,85.7262887073,0.0000132829
nt4spqkqdga76ux92k,Research Analyst,Horizon Ventures,4,14,118,Itahari,2,visionen110@company.com,Kursi ma basne paisa kamaunsfi,27.7277479105,81.0651794101,0.0000211222
7lv2yuztwwhpp9frhn,DevOps Engineer,Pacific Enterprises,8,9,121,Pokhara,0,pacifice11@outlook.com,Be part of innovative projects,28.7292570613,84.8534176583,0.0000756124
5lah2tndyj86gircxp,Lab Technician,Metro Trading,3,5,46,Itahari,2,quantums406@gmail.com,Work with cutting-edge technology,26.0582534281,80.8030260841,0.0000743674
gpv5pxsozu9t502ydd,Supply Chain Manager,Unity Systems,2,8,78,Pokhara,1,royalind73@gmail.com,Kursi ma basne paisa kamaunsfi,28.6628092195,82.9270477298,0.0000492162
suo0ck7etx6nprwkmd,Product Manager,Quest Technologies,6,12,51,Dhangadhi,2,unitysys732@outlook.com,Excellent opportunity for career growth,26.3612672374,85.3762100306,0.0000385695
jvis1dzqr8ogws9z12,Doctor,Stellar Group,2,14,34,Lalitpur,0,stellarg383@outlook.com,Challenging role with great perks,28.209054072,84.0712522135,0.0000584296
k32bkkb3vyjffgwe2u,Branch Manager,Beta Technologies,2,9,88,Butwal,3,bridgeco213@yahoo.com,Opportunity to make an impact,27.0733040869,87.3069566559,0.0000957272
uwxvstncforp04dnkn,Research Analyst,Ace Solutions,10,10,33,Dhangadhi,1,globalin8@gmail.com,Dynamic work environment with competitive benefits,28.4615893986,87.1176641156,0.0000799700
lzq3aoxkf8x9xme1xb,Chief Technology Officer,Noble Ventures,5,0,68,Bharatpur,2,pacifice732@gmail.com,Work with cutting-edge technology,26.6438255018,85.243806235,0.0000594709
3lyc60x5uaifcoe9vq,Data Analyst,Phoenix Ltd,2,6,133,Hetauda,1,silverso263@company.com,Be part of innovative projects,28.5911072725,86.303293753,0.0000984803
yhrxdq20ny2bmarr6n,Nurse,Summit Enterprises,3,13,133,Bharatpur,0,pacifice965@company.com,Opportunity to make an impact,27.4283607552,85.8288125133,0.0000065266
kanqng1g9kkdgod9hq,Doctor,Vertex Corporation,3,7,84,Biratnagar,1,digitald443@outlook.com,Kursi ma basne paisa kamaunsfi,28.8527678653,82.1249223982,0.0000247659
2gnru174b43e8wloi4,Branch Manager,Castle Industries,2,8,74,Dhangadhi,3,phoenixl456@yahoo.com,Excellent opportunity for career growth,27.3337242646,82.4835481716,0.0000105977
b1s23r69ytosny946v,Principal,Titan Corp,1,0,28,Birgunj,2,zenithgr41@company.com,Excellent opportunity for career growth,28.5158054772,86.6066762178,0.0000826054
zolm49rkibist051pp,Software Engineer,Zenith Group,7,6,107,Bharatpur,0,lotusgro428@outlook.com,Be part of innovative projects,28.5958082303,86.2682001086,0.0000362181
qi7kiukzfp7b8mwffe,DevOps Engineer,Jupiter Systems,7,10,91,Hetauda,1,nexussol631@gmail.com,Dynamic work environment with competitive benefits,28.673638505,87.8329556068,0.0000425576
xr5ou37r6d8jtxxsxu,Customer Service Representative,Apex Trading,8,12,95,Bharatpur,2,karmaind327@outlook.com,Be part of innovative projects,27.8529813955,83.250806432,0.0000800091
sg2pymusjxgnvjifz3,Nurse,Phoenix Ltd,8,10,80,Hetauda,3,quantums352@outlook.com,Dynamic work environment with competitive benefits,27.8113618412,83.1792242074,0.0000170886
sudq79qu9vzy03ilte,Principal,Castle Industries,2,3,71,Bhaktapur,2,karmaind206@outlook.com,Work with talented professionals,27.3028997567,83.7509791556,0.0000402769
mrf9ap788cp61qvseq,Principal,Global Industries,4,12,39,Nepalgunj,1,mandalac177@outlook.com,Join our fast-growing company,28.0952433481,84.4771827255,0.0000837654
wxlv36g5pcc0v3dtmm,Architect,Summit Enterprises,2,6,107,Butwal,1,apextrad889@company.com,Be part of innovative projects,27.000411412,87.889450549,0.0000462702
rf0fmnsuy2byfdrexv,Marketing Manager,Ace Solutions,9,3,145,Dharan,3,techsolu158@outlook.com,Looking for experienced professional to join our team,26.5691804614,84.987976884,0.0000154567
krt6uxyi4s5yctzd1f,Operations Manager,Ace Solutions,9,5,54,Butwal,3,infinity23@outlook.com,Opportunity to make an impact,27.6907064031,86.595856289,0.0000554884
ij77u2z8khw9xe1ple,Research Analyst,Apex Trading,5,7,61,Lalitpur,2,diamondc682@company.com,Kursi ma basne paisa kamaunsfi,27.6588321904,86.7195385271,0.0000431916
0ofb2nnimqdtmwqbfd,Lab Technician,Lotus Group,9,14,9,Dharan,3,omegagro554@outlook.com,Challenging role with great perks,28.2705978387,80.9857203393,0.0000495742
y6np21lrdtgtdj3bk7,Operations Manager,Omega Group,10,1,23,Lalitpur,2,betatech720@yahoo.com,Kursi ma basne paisa kamaunsfi,27.5174984506,85.1755612866,0.0000684073
yk5spmp5bd0z4r1brw,Digital Marketing Specialist,Horizon Ventures,2,13,52,Biratnagar,3,diamondc230@yahoo.com,Work with cutting-edge technology,26.3707725791,84.1489095144,0.0000280402
tflgljk34inohlza6v,Social Media Manager,Karma Industries,8,12,105,Hetauda,3,zenithgr255@outlook.com,Work with cutting-edge technology,28.1488376553,85.455829972,0.0000960808
w0dk1at44gichmm1zf,Lab Technician,Global Industries,6,11,94,Birgunj,2,phoenixl942@yahoo.com,Challenging role with great perks,28.8078916984,86.6028497625,0.0000562086
3az3xez2l9ad04wns0,Research Analyst,Metro Trading,8,7,88,Bharatpur,1,goldenen303@gmail.com,Join our fast-growing company,27.8923845066,85.0331941232,0.0000850687
hbvdnafakrxptqfty6,Medical Representative,Noble Ventures,2,13,127,Birgunj,1,emeralds950@yahoo.com,Looking for experienced professional to join our team,27.2685717231,84.1245355838,0.0000785939
tazyn5m5ewdbf0bbvv,Pharmacist,Summit Enterprises,8,9,27,Dhangadhi,3,summiten186@gmail.com,Opportunity to make an impact,26.9975180888,80.9448027703,0.0000221108
4k0g44iuufk3q61lyk,Consultant,Vertex Corporation,8,15,14,Butwal,3,primeser785@yahoo.com,Challenging role with great perks,27.6591988777,83.5184085573,0.0000070480
y0ngbn8kwo187xwl89,Lecturer,Golden Enterprises,9,6,18,Nepalgunj,1,horizonv11@company.com,Excellent opportunity for career growth,28.044389183,82.3623179951,0.0000414295
r4lp55qw28w64zspxt,Office Assistant,Titan Corp,2,4,94,Dhangadhi,0,apextrad134@gmail.com,Work with talented professionals,28.5459110554,80.313303846,0.0000406471
cjd707ijioo732lt0f,Content Writer,Oracle Solutions,1,15,148,Biratnagar,3,skylinei228@gmail.com,Challenging role with great perks,26.9504113831,81.4739180438,0.0000654174
4p8w2mdm5hjout5ahi,Accountant,Karma Industries,3,6,113,Bharatpur,0,unitysys717@gmail.com,Dynamic work environment with competitive benefits,26.4389761409,83.064550284,0.0000544622
vc5zqlsei1b3ofheql,Supply Chain Manager,Skyline Industries,9,4,75,Hetauda,0,vertexco729@yahoo.com,Looking for experienced professional to join our team,28.157493932,81.5730104493,0.0000911450
qogpiskrtkx377sxia,HR Manager,Castle Industries,8,13,146,Nepalgunj,2,innovati89@company.com,Be part of innovative projects,27.4282740985,81.4900675661,0.0000682343
maniaeu1je2t54ahh3,Branch Manager,Infinity Tech,7,15,88,Tulsipur,1,nexussol659@outlook.com,Looking for experienced professional to join our team,28.2635751195,83.8492127238,0.0000784719
hy9q2xwkk2qfper7rm,Quality Assurance Engineer,Emerald Solutions,1,3,69,Nepalgunj,1,questtec744@outlook.com,Work with cutting-edge technology,27.5400190343,87.5612275436,0.0000659815
feg6qc74m0ck46d4fi,Financial Analyst,Noble Ventures,4,6,12,Dhangadhi,1,futureco885@yahoo.com,Be part of innovative projects,27.4127672508,83.7290617494,0.0000217390
7czlpcau9i7xyznoue,Branch Manager,Castle Industries,6,7,106,Bharatpur,1,pacifice927@outlook.com,Dynamic work environment with competitive benefits,28.0135867082,82.5277382108,0.0000064800
g115hx9fvufk9ezxoy,Teacher,Ace Solutions,7,15,96,Dhangadhi,0,emeralds756@company.com,Opportunity to make an impact,28.8432612226,85.2548621107,0.0000729935
dvupgjiz3iqcreyqiq,Training Coordinator,Golden Enterprises,6,0,108,Birgunj,0,visionen162@outlook.com,Excellent opportunity for career growth,28.9840547117,84.532702287,0.0000859339
g1f21edndbfyu8c7gd,Content Writer,Ace Solutions,10,13,149,Butwal,0,apextrad132@yahoo.com,Opportunity to make an impact,27.2164007222,80.7764030815,0.0000253867
y38gb8491fg8msexio,Quality Assurance Engineer,Quantum Systems,5,4,141,Tulsipur,3,globalin628@gmail.com,Excellent opportunity for career growth,28.5396989136,80.2955306941,0.0000736083
evs8zu2mug25z0mq3l,Product Manager,Vision Enterprises,9,7,95,Janakpur,2,questtec600@gmail.com,Opportunity to make an impact,26.2637834217,83.0319087917,0.0000497580
n2vf1rw65c1o44ag61,Chief Technology Officer,Karma Industries,7,5,62,Bhaktapur,2,emeralds489@company.com,Work with talented professionals,28.7507027936,87.9802326356,0.0000416681
hwgfxo4o6p4x0gaaqu,Teacher,Ace Solutions,8,15,129,Pokhara,2,abcenter487@yahoo.com,Excellent opportunity for career growth,28.0184013033,82.0573601994,0.0000392586
toajfckrjtrveb0a7n,HR Manager,Quantum Systems,9,12,130,Pokhara,2,alphasys273@gmail.com,Be part of innovative projects,26.259805924,84.8089535526,0.0000080197
lqsd0118qh097csnx9,Mechanical Engineer,Quest Technologies,2,12,9,Butwal,2,wisdomte59@gmail.com,Opportunity to make an impact,27.8589361525,87.2308429985,0.0000128473
9edpu9uguzrj5n6igu,Training Coordinator,Horizon Ventures,8,1,149,Dharan,3,jupiters966@yahoo.com,Looking for experienced professional to join our team,28.9607550409,85.2252640543,0.0000737429
9lm8z51mk5441v8inx,Accountant,Ace Solutions,2,9,107,Bhaktapur,0,infinity503@outlook.com,Be part of innovative projects,27.4564634056,86.8083125109,0.0000707895
qxxlvq4fsjbwe4ffc8,UI/UX Designer,Metro Trading,6,2,90,Birgunj,0,royalind586@gmail.com,Opportunity to make an impact,27.5386268851,85.9605090885,0.0000017889
jgbqhgzju0cfzp5u8s,Office Assistant,Global Industries,8,12,29,Dharan,1,abcenter297@gmail.com,Excellent opportunity for career growth,27.4026599544,80.1019138718,0.0000539374
fylxcsd491s4t0angj,Lab Technician,Vertex Corporation,10,13,104,Itahari,3,jupiters43@yahoo.com,Be part of innovative projects,27.2345528034,81.5895946682,0.0000198751
9sddsffxks5vt7e58k,Consultant,Quest Technologies,7,6,19,Birgunj,1,diamondc948@gmail.com,Work with talented professionals,28.1170157938,83.2447699375,0.0000780910
ivaz0ojriqnbdctnau,Digital Marketing Specialist,Royal Industries,1,2,113,Janakpur,0,mandalac105@yahoo.com,Opportunity to make an impact,27.6616151013,82.2325724764,0.0000619593
gjsssj7s9fjuocv30d,Nurse,Castle Industries,1,8,5,Pokhara,3,mandalac851@outlook.com,Be part of innovative projects,26.1982450761,80.8819757197,0.0000887820
ebztdkmv78vyphnobp,Product Manager,Golden Enterprises,7,7,6,Lalitpur,0,stellarg96@gmail.com,Be part of innovative projects,27.1951959881,85.3079711771,0.0000827012
mcjy3so21pd3n7dyze,Lecturer,Global Industries,8,9,150,Kathmandu,1,globalin637@gmail.com,Work with talented professionals,27.8627394077,82.6345292082,0.0000978976
i3iwjw1bb5qz2jx44z,Mechanical Engineer,Royal Industries,5,12,40,Kathmandu,3,wisdomte536@company.com,Work with cutting-edge technology,28.3402762998,85.7712448454,0.0000405777
cusfdh2wt1tq0sd8lp,Teacher,Vision Enterprises,1,0,120,Bharatpur,3,diamondc340@yahoo.com,Looking for experienced professional to join our team,26.2509850792,86.4988944429,0.0000203080
wwtr1pajweq72m6n4r,Network Engineer,Noble Ventures,5,7,101,Bhaktapur,3,goldenen641@company.com,Opportunity to make an impact,28.1998096415,84.5653592142,0.0000435316
8owe2gwpeo27yvwdkz,Architect,Silver Solutions,4,8,7,Bharatpur,1,betatech858@gmail.com,Excellent opportunity for career growth,26.9936421472,80.5471498151,0.0000125817
o5j3xu0al7gja4gdqg,Training Coordinator,Lotus Group,7,12,47,Biratnagar,3,castlein539@outlook.com,Excellent opportunity for career growth,27.0067094499,83.069197457,0.0000728996
lxv2w5xcl7zu3htxh9,Chief Financial Officer,Zenith Group,5,5,129,Biratnagar,0,castlein730@outlook.com,Dynamic work environment with competitive benefits,26.9663597349,83.4340319826,0.0000832758
bgtvifdysagmpby1yo,Branch Manager,Unity Systems,4,5,144,Bhaktapur,2,skylinei79@yahoo.com,Work with cutting-edge technology,26.3653886232,80.8686550324,0.0000777806
m4ej8gg5h3zzjjrorb,Civil Engineer,Golden Enterprises,6,9,55,Nepalgunj,1,infinity390@gmail.com,Challenging role with great perks,28.8574006724,87.1873739414,0.0000667032
ksdsprn97qbklctxz5,Pharmacist,Digital Dynamics,6,6,78,Bharatpur,3,innovati525@company.com,Kursi ma basne paisa kamaunsfi,26.0433573691,83.8042921512,0.0000267289
vbphzy7azz25bkl23c,Office Assistant,Bridge Consulting,8,7,122,Janakpur,2,wisdomte43@yahoo.com,Work with cutting-edge technology,26.8269797927,83.0726588985,0.0000159145
8ad8ojf7i5jjolzxto,Software Engineer,Jupiter Systems,10,6,6,Dhangadhi,0,apextrad206@yahoo.com,Opportunity to make an impact,26.6848199206,85.9442698242,0.0000762576
3gs0ybskppz0v7uvc1,DevOps Engineer,Diamond Corp,9,15,51,Biratnagar,3,diamondc630@yahoo.com,Kursi ma basne paisa kamaunsfi,26.4110714432,87.6820746273,0.0000988202
tu0stzpn3c8xj7j6gu,HR Manager,Golden Enterprises,4,2,106,Dharan,2,visionen697@yahoo.com,Join our fast-growing company,28.2260682411,87.3961513698,0.0000138685
75v540yf1vyixxudxx,Admin Officer,Crown Industries,1,3,6,Janakpur,0,castlein453@yahoo.com,Work with talented professionals,28.6668200214,81.8447999797,0.0000570661
bsv56w69mey8shrxg2,Content Writer,Horizon Ventures,8,13,103,Butwal,3,futureco28@outlook.com,Kursi ma basne paisa kamaunsfi,26.1531950037,84.8678503222,0.0000353210
g7ribbh80obvdam40q,Graphic Designer,Global Industries,1,15,118,Dharan,3,metrotra594@yahoo.com,Opportunity to make an impact,28.00025449,86.6702567548,0.0000033436
bl6q1d0610bpiybhll,Lab Technician,Infinity Tech,5,11,128,Bhaktapur,2,apextrad459@company.com,Opportunity to make an impact,26.52657222,83.0102724751,0.0000276957
akuu6xdez98zulpyht,Senior Manager,Apex Trading,3,2,124,Butwal,1,karmaind724@yahoo.com,Excellent opportunity for career growth,27.3115575919,82.4382356671,0.0000523036
4kbk5a3zand5jb9ssf,Accountant,Titan Corp,2,8,139,Itahari,2,nexussol720@outlook.com,Work with talented professionals,28.2204350737,82.8119577222,0.0000524875
3uhptn35bhu0nikdm2,Research Analyst,Digital Dynamics,3,11,86,Biratnagar,3,questtec176@gmail.com,Work with talented professionals,28.6244748259,81.3059696569,0.0000503149
rarytctp4ianeb9oon,Graphic Designer,Crown Industries,6,6,117,Bhaktapur,1,mandalac778@company.com,Join our fast-growing company,27.2274597548,87.8358257617,0.0000406404
0xh4bd2mkajvc1ojy5,Principal,Tech Solutions Pvt Ltd,9,6,59,Nepalgunj,1,nobleven581@company.com,Work with cutting-edge technology,26.8001210775,85.2504563768,0.0000683164
j5zarqiliy94tm0o7j,Network Engineer,Metro Trading,5,12,81,Kathmandu,0,metrotra3@company.com,Work with cutting-edge technology,27.4711929738,87.9326431105,0.0000699515
g20a6tzk2v57olq6gt,Architect,Pacific Enterprises,1,15,22,Butwal,1,horizonv388@outlook.com,Challenging role with great perks,28.557275346,86.7205207277,0.0000204461
rcdnlhpist01nirayg,Graphic Designer,Tech Solutions Pvt Ltd,1,15,11,Lalitpur,3,acesolut595@gmail.com,Looking for experienced professional to join our team,26.7537504585,80.0132694855,0.0000042811
ihet5spyc7ovgb4yly,Quality Assurance Engineer,Vision Enterprises,1,8,92,Itahari,3,innovati926@company.com,Kursi ma basne paisa kamaunsfi,26.7778429313,82.3799257463,0.0000331933
iyv2x9cbpvhz92110t,Chief Financial Officer,Noble Ventures,4,1,75,Janakpur,2,zenithgr139@gmail.com,Join our fast-growing company,27.1278274835,81.6906747921,0.0000394695
o22xiyu2xke8igo2k4,Civil Engineer,Innovation Hub,7,6,104,Tulsipur,2,karmaind310@outlook.com,Kursi ma basne paisa kamaunsfi,27.0722279759,81.5372429442,0.0000279664
